GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mps4,org.mps.mutation,SwapMutation,0,51,0,4,0,13,0,4,0,2
mps4,org.mps.crossover,OnePointCrossover,5,87,4,8,1,15,4,4,0,2
mps4,org.mps,EvolutionaryAlgorithmException,3,4,0,0,2,2,1,1,1,1
mps4,org.mps,EvolutionaryAlgorithm,0,187,0,26,0,38,0,22,0,9
mps4,org.mps.selection,TournamentSelection,0,74,0,14,0,18,0,9,0,2
