GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mockito-mps-uma,org.mps.ronqi2,RonQI2,0,57,0,14,0,14,0,12,0,5
mockito-mps-uma,org.mps.ronqi2,RonQI2Silver,0,108,0,8,0,26,0,9,0,5
mockito-mps-uma,org.mps.dispositivo,Dispositivo,3,0,0,0,1,0,1,0,1,0
mockito-mps-uma,org.mps.dispositivo,DispositivoSilver,25,0,0,0,11,0,8,0,8,0
