GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank,com,BankAccount,0,90,0,6,0,20,0,9,0,6
bank,com,BankMain,81,0,0,0,10,0,2,0,2,0
